,0,1,2,3,4,5,6,7
33,-0.06524239,0.77305746,0.6214976,0.8113079,0.67024314,-0.74535996,0.64762,0.74533796
34,0.72411215,0.91832083,0.9103517,0.82673454,0.86255485,-0.8448592,0.95775044,0.87289995
35,-0.067295365,0.6691099,0.50244933,0.7341024,0.6823192,-0.65536904,0.45009303,0.7131165
36,0.8283121,0.8338733,0.7309393,0.77988446,0.8317149,-0.8945457,0.7510004,0.7846343
37,0.6629003,0.7380225,0.5830917,0.7577587,0.68977326,-0.7119543,0.70701206,0.6940377
38,0.52128744,0.6088436,0.7951462,0.867608,0.9005699,-0.6518858,0.764468,0.841812
39,0.005174956,0.7358512,0.59764403,0.7038354,0.6548049,-0.6882073,0.6880004,0.6960012
40,0.14094698,0.56273717,0.5086861,0.58175564,0.49103478,-0.5819388,0.3927381,0.5929592
41,0.70131695,0.6484941,0.6858804,0.54938936,0.52268064,-0.7029114,0.73695135,0.6732693
42,0.6624019,0.63216305,0.6378418,0.7781781,0.84247166,-0.6169696,0.7144858,0.75221187
43,0.37087068,0.95314664,0.7183921,0.8486046,0.73541135,-0.666368,0.50825435,0.7937822
44,0.48778817,0.64342123,0.64542234,0.7195157,0.6306924,-0.72822165,0.7022478,0.7458718
45,0.6639747,0.6927211,0.7298062,0.78651965,0.7295632,-0.6860379,0.7372279,0.70452183
46,0.57544,0.751799,0.7161365,0.77218777,0.65073156,-0.72170275,0.64415765,0.79006755
47,0.22190373,0.72442085,0.60053366,0.7001953,0.60013753,-0.68252283,0.5189142,0.74188536
48,0.69153374,0.5900651,0.6936379,0.6859525,0.56002015,-0.729958,0.6686458,0.65371364
49,0.7584,0.5269115,0.51905066,0.34506893,0.5186013,-0.64713925,0.5693962,0.5537507
50,0.40139014,0.56798434,0.54086363,0.5814809,0.5777718,-0.6201583,0.5147696,0.5997071
51,0.4694836,0.6417152,0.5583463,0.6538869,0.63262546,-0.6226041,0.6779883,0.65142953
52,0.61229193,0.8408777,0.8468354,0.7471246,0.750481,-0.7675279,0.6027151,0.65485024
53,0.53388286,0.7465898,0.68555737,0.78401965,0.6447392,-0.6673565,0.7043061,0.7671736
54,0.49638942,0.6946882,0.7817961,0.7434811,0.748106,-0.6957301,0.75672466,0.67193437
55,0.6020212,0.6217302,0.5504951,0.58942497,0.6380549,-0.64058304,0.5642281,0.7020502
56,0.7445946,0.59530574,0.6078208,0.795874,0.73426634,-0.7475894,0.6698261,0.71790624
57,0.42596206,0.68747914,0.76239127,0.7764803,0.7296412,-0.6209629,0.63011575,0.73941606
58,0.7121769,0.7362485,0.6133341,0.63317347,0.6079824,-0.7486716,0.8075892,0.7415031
59,0.91796625,0.7093808,0.7134391,0.70529443,0.57479876,-0.7443298,0.7324374,0.89228064
60,0.8144373,0.6684718,0.76651037,0.7826351,0.6423146,-0.7239282,0.7826327,0.6517855
61,0.013843962,0.50600773,0.54208773,0.63526267,0.48985523,-0.62557733,0.5234551,0.63557804
62,0.8135299,0.51978606,0.5580768,0.5286159,0.6995632,-0.6623072,0.4751883,0.69519585
63,0.6055472,0.69234145,0.6002806,0.4975457,0.6685578,-0.62329304,0.57136536,0.6188599
64,0.849314,0.650046,0.529041,0.58701974,0.69777006,-0.6522538,0.6764699,0.6316309
65,0.7123861,0.74342936,0.62109816,0.67474705,0.6713674,-0.6371396,0.651558,0.6696277
66,0.37699765,0.5991384,0.6484058,0.72686297,0.7194299,-0.64755344,0.5995814,0.6741577
67,0.5396799,0.6924641,0.7928257,0.791243,0.794068,-0.73316973,0.6585442,0.6533958
68,0.364243,0.58493793,0.54075927,0.5665263,0.571176,-0.5790383,0.52252513,0.5273831
69,0.99465483,0.6631874,0.7619872,0.6176288,0.7356147,-0.52354145,0.585305,0.5904755
70,0.5994112,0.7004717,0.6654757,0.59367526,0.5672121,-0.69532716,0.6951757,0.63623357
71,0.67022145,0.66134906,0.6323729,0.56065375,0.56071025,-0.64128256,0.58657646,0.62740064
72,0.78758836,0.6934695,0.65453774,0.6459275,0.7100472,-0.656221,0.6760992,0.64514613
73,0.7003192,0.5656892,0.6536308,0.45072877,0.62493837,-0.587326,0.5803316,0.58583546
74,0.25336173,0.66795754,0.59752345,0.67902946,0.7243615,-0.68821293,0.5527622,0.73381466
75,0.5692991,0.66227615,0.6720553,0.62894744,0.7145749,-0.6753619,0.54037476,0.68749136
76,0.85629094,0.6980199,0.6789156,0.5418592,0.5927935,-0.623731,0.6147037,0.5367028
77,0.7444725,0.5827146,0.66061914,0.5317678,0.4720203,-0.5752178,0.61734563,0.6569372
78,0.6426966,0.65474796,0.6237799,0.59731245,0.6671693,-0.5869924,0.62103826,0.67925566
79,0.7265545,0.78050077,0.71684366,0.72396797,0.7152281,-0.671311,0.7141417,0.72409385
80,0.71567893,0.59713805,0.6728956,0.6290846,0.66574436,-0.6351106,0.6732509,0.5639081
81,0.5416744,0.70045274,0.5691873,0.7101622,0.6013193,-0.64411056,0.4910983,0.52225554
82,0.7349784,0.56374747,0.6638568,0.5626351,0.4930085,-0.5658125,0.74841666,0.5672077
83,0.8554176,0.63350266,0.64350194,0.80707216,0.7820237,-0.6121907,0.64073294,0.68837124
84,0.5682173,0.7442246,0.64351594,0.7921109,0.75594586,-0.72868145,0.5842131,0.69416803
85,0.93462306,0.54279244,0.56805384,0.51986116,0.58095986,-0.63043535,0.6786384,0.65892017
86,0.46778718,0.84430784,0.6102878,0.7987992,0.6816272,-0.7266751,0.6109767,0.76518583
87,0.8956313,0.608257,0.8011112,0.8358798,0.82022464,-0.7380362,0.6115166,0.73094803
88,0.536303,0.7594582,0.66164136,0.68890864,0.6182987,-0.77115256,0.63999504,0.8126765
89,0.52091306,0.7277345,0.7629571,0.6789848,0.72080046,-0.8011299,0.79470944,0.6992357
90,1.0087652,0.6482182,0.79814494,0.7421091,0.5893486,-0.7248546,0.7749214,0.7165034
91,0.46593323,0.7259619,0.78435665,0.77814424,0.8146774,-0.76643896,0.58705455,0.6309465
92,0.91507775,0.5351695,0.67259127,0.6247027,0.599821,-0.7118707,0.60191697,0.6714873
93,0.65939015,0.7245119,0.63099736,0.7332291,0.64263546,-0.6102603,0.71713495,0.6918948
94,0.998145,0.6718739,0.7271613,0.48433167,0.5832914,-0.8013186,0.8880788,0.6538013
95,0.5684984,0.6579715,0.6845862,0.77891093,0.62396973,-0.7033145,0.61892134,0.6754563
96,0.6668388,0.7882003,0.7038651,0.64521503,0.716448,-0.70854557,0.655331,0.77158177
97,0.66813713,0.6723253,0.7459975,0.610304,0.61688,-0.66755396,0.645755,0.6732889
98,0.49354383,0.7612545,0.6427626,0.64781964,0.7173331,-0.5839299,0.58295965,0.69644594
99,0.66935754,0.5625748,0.7723877,0.7239963,0.63317823,-0.7626034,0.6936922,0.70671886
100,-0.017802002,0.69633645,0.60170275,0.73245716,0.63016295,-0.61094606,0.3580655,0.6656108
