Outcode,Latitude,Longitude
CO8,51.972092,0.766653
CO9,51.977796,0.5887
CR0,51.362751,-0.071633
CR2,51.345684,-0.075887
CR3,51.289343,-0.070594
CR4,51.400683,-0.158003
CR5,51.304967,-0.150067
CR6,51.308,-0.052
CR7,51.39484,-0.108912
CR8,51.324034,-0.115223
CT1,51.278952,1.079734
CT10,51.367125,1.420852
CT11,51.337221,1.410257
CT12,51.337047,1.340266
CT13,51.267,1.33
CT14,51.216,1.387
CT15,51.171,1.284
CT16,51.14,1.302
CT17,51.130638,1.292967
CT18,51.116864,1.141256
CT19,51.089394,1.16442
CT2,51.297463,1.06317
CT20,51.079,1.166
CT21,51.073,1.078
CT3,51.278,1.212
CT4,51.216168,1.050547
CT5,51.345013,1.021784
CT6,51.35528,1.139413
CT7,51.360025,1.307216
CT8,51.38,1.341
CT9,51.375084,1.388641
CV1,52.410338,-1.509154
CV10,52.526926,-1.519597
CV11,52.517526,-1.43076
CV12,52.480709,-1.458551
CV13,52.597673,-1.416553
CV2,52.432344,-1.446061
CV21,52.347041,-1.366452
CV22,52.355809,-1.268748
CV23,52.365233,-1.298814
CV3,52.388827,-1.475226
CV31,52.269384,-1.511554
CV32,52.305753,-1.524064
CV33,52.262406,-1.49152
CV34,52.277188,-1.573354
CV35,52.212099,-1.578232
CV36,52.084183,-1.62625
CV37,52.180784,-1.708463
CV4,52.390339,-1.56066
CV47,52.2253,-1.358965
CV5,52.424186,-1.562449
CV6,52.439743,-1.507503
CV7,52.446239,-1.514981
CV8,52.3605,-1.525645
CV9,52.601777,-1.57812
CW1,53.112178,-2.416255
CW10,53.187691,-2.449316
CW11,53.146503,-2.354374
CW12,53.170861,-2.224969
CW2,53.081,-2.446
CW3,53,-2.406
CW4,53.208429,-2.31601
CW5,53.062,-2.521
CW6,53.162,-2.666
CW7,53.173027,-2.541495
CW8,53.248782,-2.5933
CW9,53.277959,-2.498544
DA1,51.446531,0.206018
DA10,51.444,0.308
DA11,51.436357,0.344804
DA12,51.414621,0.407866
DA13,51.383815,0.346476
DA14,51.424324,0.118534
DA15,51.441422,0.101025
DA16,51.465047,0.106971
DA17,51.487,0.149
DA18,51.487302,0.161395
DA2,51.430654,0.229322
DA3,51.380714,0.297088
DA4,51.391,0.233
DA5,51.436119,0.14644
DA6,51.45581,0.142867
DA7,51.467628,0.149559
DA8,51.479398,0.179717
DA9,51.44638,0.281677
DD1,56.460856,-2.9588
DD10,56.747,-2.427
DD11,56.602729,-2.658503
DD2,56.47,-3.027
DD3,56.502379,-3.038736
DD4,56.510804,-2.949705
DD5,56.478,-2.862
DD6,56.437,-2.925
DD7,56.503,-2.718
DD8,56.656,-2.922
DD9,56.748,-2.667
DE1,52.903346,-1.511342
DE11,52.77274,-1.542241
DE12,52.723163,-1.578536
DE13,52.788188,-1.723433
DE14,52.800485,-1.6229
DE15,52.797609,-1.588707
DE21,52.951351,-1.431864
DE22,52.946825,-1.511562
DE23,52.89835,-1.502785
DE24,52.89,-1.451
DE3,52.906961,-1.521844
DE4,53.142536,-1.592009
DE45,53.215,-1.676
DE5,53.048196,-1.405241
DE55,53.101,-1.371
DE56,53.022,-1.474
DE6,52.968585,-1.688596
DE65,52.867,-1.61
DE7,52.970977,-1.352887
DE72,52.894,-1.359
DE73,52.852247,-1.448961
DE74,52.844,-1.33
DE75,53.012576,-1.350302
DG1,55.073,-3.58
DG10,55.32,-3.437
DG11,55.114,-3.336
DG12,54.99,-3.251
DG13,55.173,-3.029
DG14,55.081,-2.985
DG16,54.997,-3.068
DG2,55.065,-3.657
DG3,55.237,-3.799
DG4,55.375,-3.952
DG5,54.922,-3.81
DG6,54.837,-4.055
DG7,54.968,-4.012
DG8,54.915247,-4.609151
DG9,54.878,-5.021
DH1,54.777922,-1.55439
DH2,54.86,-1.597
DH3,54.867821,-1.551909
DH4,54.845395,-1.489553
DH5,54.825344,-1.462171
DH6,54.753,-1.464
DH7,54.784989,-1.669494
DH8,54.856,-1.844
DH9,54.84862,-1.664176
DL1,54.550379,-1.526809
DL10,54.412598,-1.679784
DL11,54.439,-1.875
DL12,54.572,-1.985
DL13,54.716,-1.954
DL14,54.652,-1.69
DL15,54.709628,-1.740801
DL16,54.699,-1.604
DL17,54.681,-1.54
DL2,54.532952,-1.623143
DL3,54.543151,-1.574602
DL4,54.63,-1.643
DL5,54.617,-1.576
DL6,54.371,-1.389
DL7,54.359654,-1.501357
DL8,54.293,-1.786
DL9,54.375,-1.709
DN1,53.523749,-1.13163
DN10,53.439403,-0.962408
DN11,53.450182,-1.104198
DN12,53.477226,-1.232874
DN14,53.711665,-0.936317
DN15,53.647183,-0.642731
DN16,53.570202,-0.624399
DN17,53.572,-0.701
DN18,53.68,-0.446
DN19,53.684,-0.359
DN2,53.534107,-1.102256
DN20,53.558,-0.505
DN21,53.416449,-0.645818
DN22,53.323,-0.927
DN3,53.540041,-1.060731
DN31,53.575009,-0.094131
DN32,53.562867,-0.067944
DN33,53.548657,-0.100349
DN34,53.56013,-0.108271
DN35,53.555,-0.035
DN36,53.511,-0.037
DN37,53.541,-0.135
DN38,53.561,-0.392
DN39,53.617,-0.334
DN4,53.504282,-1.12104
DN40,53.621,-0.224
DN41,53.58839,-0.211516
DN5,53.557811,-1.216272
DN6,53.594658,-1.176678
DN7,53.573751,-1.030587
DN8,53.610811,-0.927518
DN9,53.517186,-0.940873
DT1,50.710347,-2.4513
DT10,50.937,-2.333
DT11,50.86,-2.181
DT2,50.749,-2.453
DT3,50.641,-2.466
DT4,50.6055,-2.46886
DT5,50.548,-2.441
DT6,50.739,-2.775
DT7,50.729,-2.946
DT8,50.816,-2.758
DT9,50.941,-2.515
DY1,52.517257,-2.09395
DY10,52.374841,-2.194016
