,0,1
190,5.879234,-4.5838265
191,5.6941557,-5.0966463
192,5.951025,-4.251485
193,5.3718734,-3.8644128
194,5.6461754,-4.7424107
195,3.8327882,-4.3491545
196,4.373629,-4.0679245
197,6.3539057,-4.0674396
198,5.586946,-4.5381274
199,5.876853,-5.169861
200,4.8213143,-3.8120224
201,3.6167543,-2.0597317
202,6.477649,-3.0647266
203,5.3544827,-4.3286333
204,4.311682,-4.0343547
205,4.3893113,-4.149652
206,3.9625437,-0.90716726
207,5.484287,-2.2511394
208,5.0811734,-4.29138
209,5.6892715,-3.5671718
210,3.8248718,-4.3005915
211,6.224729,-3.726024
212,4.6101775,-0.75972223
213,6.6606464,-3.287847
214,2.816066,-1.0142543
215,4.6068473,-2.1970394
216,3.5623546,-4.197546
217,2.9935212,0.94184375
218,2.5367582,-2.6787083
219,1.8222077,0.25132516
220,2.8499134,-1.5118072
221,5.3189754,-2.3724306
222,1.6945812,-3.0814478
223,3.6557202,-4.4509873
224,4.997054,-2.4546368
225,1.4836664,1.2509258
226,2.3290884,-2.060787
227,3.1232433,-1.6755162
228,5.152299,-3.4349928
229,2.838249,0.05627592
230,3.1326318,-1.8117595
231,-0.43793494,0.8938321
232,2.5517097,-1.4214141
233,2.3736167,-1.8538995
234,4.845408,-3.1854389
235,0.39351392,-0.50066847
236,2.510356,0.8321602
237,1.9834527,-3.0974767
238,6.1290007,-3.4823072
239,3.3420506,-2.2510207
240,0.027743606,0.41832402
241,3.1929739,-1.7673017
242,2.5740695,-3.8803573
243,-0.22195135,-2.0947535
244,1.6710149,-0.12593995
245,0.081598826,-2.5378535
246,2.1099782,-3.774523
247,-8.415381,2.392953
248,3.0981863,-2.8065948
249,2.1864984,-1.080061
250,3.8104181,-1.0532166
251,5.9508758,-3.9819698
252,1.5062191,-0.39465475
253,2.9689174,-2.388759
254,-1.2750611,1.5854222
255,2.3383796,-2.639903
256,4.6360073,-0.48730436
257,1.8915536,-3.3922653
258,1.1198955,-3.367794
259,-0.13023837,-1.9769596
260,-0.12967227,-2.1187937
261,-2.8651981,0.7976576
262,3.1620936,-2.2570407
263,-3.9242537,1.659061
264,0.07372764,-2.1044486
265,3.5360913,-4.060462
266,-0.023260701,-0.1800143
267,0.19239776,0.21711753
268,1.7316332,-3.6362226
269,1.3675874,-3.6110682
270,1.2656184,-3.2361188
271,0.33698434,-2.819952
272,1.0990926,-3.5203612
273,2.4673975,-3.023249
274,2.547825,-2.9494696
275,3.4766958,-4.427417
276,3.7581577,-3.7561843
277,3.7770424,-2.3290663
278,1.167486,-1.3142284
279,4.373783,-0.36477962
280,1.2759221,-1.3355856
281,1.2178271,-2.2949753
282,1.569457,-3.1494982
283,3.7062948,-3.8402417
284,2.4473195,-2.0707266
285,5.839165,-5.2574644
286,1.2405987,-3.4676857
287,2.9164484,-3.2045867
288,0.30401748,-2.8069782
289,0.41554636,-1.9478209
290,1.4040058,-1.1595483
291,1.6664206,-2.8384402
292,1.7673706,-3.593097
293,4.3591557,-3.9342937
294,0.17904386,-2.7418885
295,2.451336,-2.4639826
296,0.85922474,1.1128172
297,3.593119,-4.3834057
298,2.3529313,-3.168283
299,0.75394773,-1.259282
300,0.2605878,-2.8502157
301,0.303431,-2.7778714
302,1.2032292,-3.530269
303,3.793904,-4.225144
304,0.84894997,-2.8423653
